feature_id,road_id,road_part_id,road_name,start_km,finish_km,road_length,geom_length,value_of_the_road,value_of_the_road_gid,geometry_type,geometry,passport_id,road_data_id,full_name,road_number_full,road_number_short,region,city,municipality,owner,category,class_of_road,length_km,start_passport,finish_passport,traffic,traffic_1,capacity,capacity_1,capacity_2,capacity_3,lanes,lanes_1,speed_limit,speed_limit_1,value_of_the_road_passport
2389269,179247,179247,ул Кавалерийская,0.0,2.96,2.96,2.963,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9229896.597398322, 7372773.385694123, 0], [9230139.643261697, 7372821.158836801, 141.99379366042353], [9230239.966861323, 7372850.4198866915, 201.90131274271954], [9230445.391374838, 7372947.160500615, 332.06726391373394], [9230631.70663128, 7373024.791857467, 447.774357910196], [9230768.457252197, 7373082.119628681, 532.777402430366], [9230815.036066307, 7373097.645900052, 560.9233992352104], [9230841.311294781, 7373098.840228618, 576.0014135418966], [9230878.93264464, 7373086.299778665, 598.7347186534497]], [[9231211.553150535, 7373083.31395725, 598.7347186534497], [9231229.46807904, 7373080.328135832, 609.1462390068867], [9231249.174500395, 7373083.31395725, 620.572019635531], [9231336.957650065, 7373113.172171424, 673.7256441980883], [9231385.327957027, 7373123.323964243, 702.0583839076648], [9231521.48141366, 7373160.945314102, 783.0341330360231], [9231574.62903489, 7373166.319792653, 813.6567681545479], [9231648.677406041, 7373179.457406894, 856.768441260348], [9231794.38549121, 7373214.092935336, 942.6240375369237], [9232321.681553518, 7373355.023706236, 1255.510391510683], [9232408.270374617, 7373374.7301275935, 1306.417325198841], [9232485.304567186, 7373444.598348761, 1366.0356119032783]], [[9232586.822495379, 7373453.555813017, 1366.0356119032783], [9232936.163601212, 7373547.907769807, 1573.4735167185127], [9233302.822471268, 7373649.425697997, 1791.5710088927021], [9233741.141055338, 7373755.123776178, 2050.0427647499464], [9234168.710682306, 7373874.556632878, 2304.5327700435487], [9234582.545530757, 7373987.420682455, 2550.4310617715673], [9235030.41874336, 7374100.881896319, 2815.2881756747283], [9235071.025914632, 7374108.645032006, 2838.9881022493328], [9235096.703978822, 7374119.393989109, 2854.9459070812873], [9235129.548014414, 7374139.100410464, 2876.9030298298885], [9235179.709814226, 7374180.304746024, 2914.116220129815], [9235222.705642635, 7374216.134603033, 2946.200289717026], [9235234.648928305, 7374237.035352955, 2960]]]",201416267,33492,ул Кавалерийская,50-401 372 ОП МГ 03012,03012,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,III,Обычная автомобильная дорога (нескоростная автомобильная дорога),2.96,0+000,2+960,"[200, 2000, 3600]",200.0,[3600],3600.0,,,"[1, 2]",1.0,"[20, 40, 60]",20.0,Автомобильные дороги местного значения
2347250,177624,177624,ул Анодная,0.0,0.29,0.29,0.29,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9230165.0062, 7376278.990999997, 0], [9230219.664099999, 7376217.159500003, 47.219555184603465], [9230364.045400001, 7376058.694300003, 169.88019806322995], [9230400.558200002, 7376017.280000001, 201.4709132924191], [9230486.051600002, 7375920.064199999, 275.5449463288894], [9230502.860800002, 7375901.204499997, 290]]]",374741334,374741335,ул Анодная,50-401 372 ОП МГ 03102,03102,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.29,0+000,0+290,[2000],2000.0,[3600],3600.0,,,"[1, 2]",1.0,[60],60.0,Автомобильные дороги местного значения
2351572,177888,177888,спуск Ядринцевский Конный,0.0,0.37,0.37,0.378,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232395.069542788, 7368482.768946573, 0], [9232417.333440948, 7368478.107076605, 12.78680966775278], [9232438.706783181, 7368469.36607795, 25.767512520904297], [9232505.498477656, 7368422.164854849, 71.7430080704462], [9232579.637258526, 7368352.62612587, 128.88288502131755]], [[9233569.130277954, 7368097.179749751, 128.88288502131755], [9233203.665736465, 7368321.713520342, 370]]]",374732163,374732164,спуск Ядринцевский Конный,50-401 386 ОП МГ 10034,10034,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.37,0+000,0+370,[2000],2000.0,[3600],3600.0,,,"[1, 2]",1.0,"[40, 60]",40.0,Автомобильные дороги местного значения
2376392,175056,175056,ул Профинтерна,0.0,0.48,0.48,0.48,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9226455.284200002, 7371980.541100003, 0], [9226545.118999999, 7372041.172899999, 62.127224272471786], [9226673.1364, 7372127.457500003, 150.62276399990202], [9226718.554699998, 7372157.968199998, 181.98691429898753], [9227007.428800002, 7372353.473099999, 381.93630184395744], [9227149.806499999, 7372448.312200002, 480]]]",374776967,374776968,ул Профинтерна,50-401 372 ОП МГ 03172,03172,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.48,0+000,0+480,[200],200.0,[3600],3600.0,,,"[1, 2]",1.0,"[40, 60]",40.0,Автомобильные дороги местного значения
2383740,176260,176260,ул Ружейная,0.0,0.6,0.6,0.566,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232833.334399998, 7374089.523000002, 0], [9232826.6552, 7374085.829700001, 4.633911674023935], [9232822.759, 7374083.108400002, 7.519337211699167], [9232819.976, 7374079.414999999, 10.327093583221037], [9232819.4194, 7374076.499300003, 12.12931016691168], [9232818.6402, 7374072.028399996, 14.88470703309302], [9232818.417599998, 7374064.641800001, 19.37147246535572], [9232819.085499998, 7374047.147299998, 30.000890174520638], [9232825.875999998, 7374010.797700003, 52.45212031290718], [9232839.123, 7373954.232500002, 87.72454416896905], [9232839.7909, 7373945.679700002, 92.93313432575586], [9232839.902199998, 7373934.016900003, 100.01445518013693], [9232840.570099998, 7373921.770900004, 107.46059008944177], [9232844.4663, 7373893.391400002, 124.85265626679687], [9232858.6039, 7373844.796599999, 155.57993681646903], [9232885.6545, 7373739.638499998, 221.50458986988664], [9232938.197299998, 7373544.681999996, 344.0947300541699], [9232993.968400002, 7373343.704899996, 470.7278570844672], [9233044.841400001, 7373154.394699998, 589.7441990630616], [9233049.8508, 7373138.262699999, 600]]]",374780292,374780293,ул Ружейная,50-401 373 ОП МГ 04154,04154,Новосибирская область,,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.6,0+000,0+600,"[200, 2000]",200.0,[3600],3600.0,,,"[1, 2]",1.0,[60],60.0,Автомобильные дороги местного значения
2383478,176356,176356,пер 2-й Паромный,0.0,0.14,0.14,0.142,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9227625.25558489, 7367813.745931711, 0], [9227512.391535312, 7367770.152939017, 68.74993517345656], [9227461.632571217, 7367765.972789032, 97.69019064912844], [9227406.693457138, 7367771.347267584, 129.05710122395325], [9227387.584200066, 7367768.95861045, 140]]]",374716514,374716515,пер 2-й Паромный,50-401 368 ОП МГ 02033,02033,Новосибирская область,,,Мэрия города Новосибирска,III,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.14,0+000,0+140,[6000],6000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
2383288,175591,175591,ул Рельсовая,0.0,0.35,0.35,0.354,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9230884.575399999, 7372557.3398, 0], [9230888.2489, 7372542.763800003, 8.520672260933265], [9230938.231400002, 7372348.808899999, 122.05478509971041], [9230939.9012, 7372342.395599998, 125.81132465569053], [9230954.5953, 7372284.870899998, 159.4658534745615], [9230995.7835, 7372124.931100003, 253.08473187491475], [9231002.128800001, 7372100.444899999, 267.4230461620906], [9231023.3908, 7372017.658600002, 315.8729295998501], [9231036.6378, 7371966.354900002, 345.9079156530288], [9231038.418900002, 7371959.358999997, 350]]]",374779105,374779106,ул Рельсовая,50-401 372 ОП МГ 03174,03174,Новосибирская область,,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.35,0+000,0+350,[200],200.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
2350800,177862,177862,ул Б.Щукина,0.0,0.25,0.25,0.25,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9226431.795699999, 7364977.054300003, 0], [9226433.910799999, 7365005.5955, 16.39300639529625], [9226432.129700001, 7365030.641900003, 30.775617801129673], [9226432.686299998, 7365055.6884, 45.12560001449618], [9226435.6919, 7365074.910099998, 56.26942499797088], [9226455.061500002, 7365142.089699998, 96.31690060425191], [9226529.422899999, 7365287.906199999, 190.07315226988425], [9226540.7775, 7365307.1285, 202.8609710634755], [9226557.4754, 7365325.185900003, 216.94851066561662], [9226569.498, 7365335.865000002, 226.15936010357828], [9226581.4091, 7365349.068300001, 236.3447820108226], [9226593.7656, 7365369.455799997, 250]]]",201415132,32357,ул Б.Щукина,,,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,V,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.25,0+000,0+250,[200],200.0,[3600],3600.0,,,[1],1.0,[60],60.0,Автомобильные дороги местного значения
7108,176591,176591,ул Салтыкова-Щедрина,0.0,0.25,0.25,0.755,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9227824.291299999, 7370335.500600003, 0], [9227832.0836, 7370323.843099996, 2.662681873066082], [9227856.128600001, 7370287.705200002, 10.90523180492481], [9227874.4963, 7370255.258900002, 17.98529172719089], [9227911.3431, 7370180.069399998, 33.885508020670066], [9227920.2487, 7370163.943599999, 37.38361536270219], [9227942.846500002, 7370122.366400003, 46.36962659481557], [9227983.5894, 7370047.566799998, 62.54394954742096], [9228033.3493, 7369963.442400001, 81.103929814612], [9228069.4168, 7369905.740999997, 94.0254556034817], [9228112.386100002, 7369836.9661, 109.42475129533427], [9228118.1747, 7369827.640799999, 111.50898458729802], [9228140.883900002, 7369791.310800001, 119.64468113785375], [9228152.683699999, 7369772.6602, 123.83559464511045], [9228161.700599998, 7369757.312399998, 127.21579007352756], [9228272.908799998, 7369569.837899998, 168.60804199113892], [9228314.876200002, 7369499.123300001, 184.2229774795034], [9228323.5592, 7369484.358800001, 187.47555302913446], [9228476.957400002, 7369233.560699999, 243.3023202362061], [9228486.196899999, 7369218.408200003, 246.67240434683796], [9228495.325100001, 7369203.449900001, 250]]]",201414178,31403,ул Салтыкова-Щедрина,50-401 368 ОП МГ 02006,02006,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),0.25,0+000,0+250,[3000],3000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
2390848,179545,179545,ул Толстого,0.0,1.39,1.39,1.395,Автомобильные дороги местного значения,83719,MultiLineString,"[[[9232784.379995381, 7366145.538352345, 0], [9232859.622695101, 7366095.973716817, 51.56181568053512], [9233069.824522885, 7365938.919510262, 201.7221225379991], [9233667.367365634, 7365514.4085730435, 621.1870237716496], [9233819.047093634, 7365407.516166303, 727.3776682704472], [9233922.953678958, 7365325.704659468, 803.0595190631502], [9234020.88862145, 7365246.878974049, 875.0034644259149], [9234139.127149573, 7365160.88731723, 958.6701845048829], [9234346.45199748, 7365015.074761751, 1103.7208942658763], [9234438.415297145, 7364951.7753476985, 1167.61052685176], [9234462.899032766, 7364932.068926344, 1185.5965131917042]], [[9234532.767253933, 7364893.2532479195, 1185.5965131917042], [9234681.46116052, 7364788.152334027, 1289.7999731063237]], [[9235164.96693903, 7364434.662283551, 1289.7999731063237], [9235021.05034671, 7364534.388718891, 1390]]]",201416501,33726,ул Толстого,50-401 379 ОП МГ 07038, 07038,Новосибирская область,г Новосибирск,,Мэрия города Новосибирска,IV,Обычная автомобильная дорога (нескоростная автомобильная дорога),1.39,0+000,1+390,[2000],2000.0,[3600],3600.0,,,[2],2.0,[60],60.0,Автомобильные дороги местного значения
