link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L1,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1635,8.65,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1635,8.65,1.0,1.0
L2,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1635,8.65,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1635,8.65,1.0,1.0
L3,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1704,7.96,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1704,7.96,1.0,1.0
L4,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1983,5.17,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1983,5.17,1.0,1.0
L5,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75
L6,площадь Кондратюка,matched_direct,direct,374727395,площадь Кондратюка,1.2115,3.85,1.0,1.0,14000.0,13200.0,4,60.0,374727395,площадь Кондратюка,1.2115,3.85,1.0,1.0
L7,площадь Кондратюка,matched_direct,direct,374727395,площадь Кондратюка,1.1874,6.26,1.0,1.0,14000.0,13200.0,4,60.0,374727395,площадь Кондратюка,1.1874,6.26,1.0,1.0
L8,площадь Кондратюка,matched_direct,direct,374727395,площадь Кондратюка,1.1916,5.84,1.0,1.0,14000.0,13200.0,4,60.0,374727395,площадь Кондратюка,1.1916,5.84,1.0,1.0
L9,площадь Кондратюка,matched_direct,direct,374727395,площадь Кондратюка,1.1916,5.84,1.0,1.0,14000.0,13200.0,4,60.0,374727395,площадь Кондратюка,1.1916,5.84,1.0,1.0
L10,площадь Кондратюка,matched_direct,direct,374727395,площадь Кондратюка,1.1831,6.69,1.0,1.0,14000.0,13200.0,4,60.0,374727395,площадь Кондратюка,1.1831,6.69,1.0,1.0
