link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L1,площадь Трубникова,no_match,,,,,,,,,,,,177382,ул Нарымская,0.8,0.0,1.0,-1.0
L2,площадь Трубникова,no_match,,,,,,,,,,,,177382,ул Нарымская,0.73,7.0,1.0,-1.0
L3,площадь Трубникова,no_match,,,,,,,,,,,,177382,ул Нарымская,0.2123,19.9,0.4021,-1.0
L4,площадь Трубникова,no_match,,,,,,,,,,,,177382,ул Нарымская,-0.1758,32.58,0.0,-1.0
L5,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.25,0.0,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.25,0.0,1.0,1.0
L6,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2486,0.14,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2486,0.14,1.0,1.0
L7,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2435,0.65,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2435,0.65,1.0,1.0
L8,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2444,0.56,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2444,0.56,1.0,1.0
L9,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2255,2.45,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2255,2.45,1.0,1.0
L10,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2441,0.59,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2441,0.59,1.0,1.0
L11,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.244,0.6,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.244,0.6,1.0,1.0
L12,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.2306,1.94,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.2306,1.94,1.0,1.0
L13,улица 1905 года,matched_direct,direct,177124,ул 1905 года,1.1836,6.64,1.0,1.0,2000.0,3600.0,2,40.0,177124,ул 1905 года,1.1836,6.64,1.0,1.0
L14,Железнодорожная улица,matched_direct,direct,175195,ул Железнодорожная,1.1612,8.88,1.0,1.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,1.1612,8.88,1.0,1.0
