link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L1,проспект Дзержинского,matched_direct,direct,173910,пр-кт Дзержинского,1.25,0.0,1.0,1.0,14000.0,3600.0,2,40.0,173910,пр-кт Дзержинского,1.25,0.0,1.0,1.0
L2,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1983,5.17,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1983,5.17,1.0,1.0
L3,улица Селезнёва,matched_direct,direct,178804,ул Селезнева,1.1466,10.34,1.0,1.0,2000.0,3600.0,2,40.0,178804,ул Селезнева,1.1466,10.34,1.0,1.0
L4,улица Селезнёва,matched_direct,direct,178804,ул Селезнева,1.1687,8.13,1.0,1.0,2000.0,3600.0,2,40.0,178804,ул Селезнева,1.1687,8.13,1.0,1.0
L5,улица Селезнёва,matched_direct,direct,178804,ул Селезнева,1.1687,8.13,1.0,1.0,2000.0,3600.0,2,40.0,178804,ул Селезнева,1.1687,8.13,1.0,1.0
L6,улица Селезнёва,matched_direct,direct,178804,ул Селезнева,1.2106,3.94,1.0,1.0,2000.0,3600.0,2,40.0,178804,ул Селезнева,1.2106,3.94,1.0,1.0
L7,улица Селезнёва,matched_direct,direct,178804,ул Селезнева,1.1783,7.17,1.0,1.0,2000.0,3600.0,2,40.0,178804,ул Селезнева,1.1783,7.17,1.0,1.0
L8,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.2336,1.64,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.2336,1.64,1.0,1.0
L9,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.1764,7.36,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.1764,7.36,1.0,1.0
L10,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.1943,5.57,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.1943,5.57,1.0,1.0
L11,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.2189,3.11,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.2189,3.11,1.0,1.0
L12,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.2088,4.12,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.2088,4.12,1.0,1.0
L13,улица Кошурникова,matched_direct,direct,178798,ул Кошурникова,1.2191,3.09,1.0,1.0,14000.0,3600.0,2,60.0,178798,ул Кошурникова,1.2191,3.09,1.0,1.0
L14,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1777,0.98,1.0,0.75
L15,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0792,10.83,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0792,10.83,1.0,0.75
L16,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1875,0.0,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1875,0.0,1.0,0.75
L19,улица Крылова,matched_direct,direct,177015,ул Крылова,1.2337,1.63,1.0,1.0,3500.0,3600.0,2,60.0,177015,ул Крылова,1.2337,1.63,1.0,1.0
L22,Железнодорожная улица,matched_direct,direct,175195,ул Железнодорожная,1.25,0.0,1.0,1.0,14000.0,8800.0,4,40.0,175195,ул Железнодорожная,1.25,0.0,1.0,1.0
L23,Каменская улица,matched_direct,direct,176997,ул Каменская,1.25,0.0,1.0,1.0,2000.0,3600.0,2,40.0,176997,ул Каменская,1.25,0.0,1.0,1.0
L24,Каменская улица,matched_direct,direct,176997,ул Каменская,1.25,0.0,1.0,1.0,2000.0,3600.0,2,40.0,176997,ул Каменская,1.25,0.0,1.0,1.0
L26,дублёр Ипподромской,no_match,,,,,,,,,,,,374730074,ул. Кольцова,0.2422,0.0,0.1419,-1.0
L27,дублёр Ипподромской,no_match,,,,,,,,,,,,179812,ул Достоевского,0.1921,0.0,0.0648,-1.0
L28,дублёр Ипподромской,no_match,,,,,,,,,,,,178827,ул Ипподромская,-0.1936,34.36,0.0,-1.0
L29,дублёр Ипподромской,no_match,,,,,,,,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,0.0277,18.16,0.0912,-1.0
L30,дублёр Ипподромской,no_match,,,,,,,,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,0.8,0.0,1.0,-1.0
L31,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1708,1.67,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1708,1.67,1.0,0.75
L33,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L34,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L35,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L36,дублёр Ипподромской,no_match,,,,,,,,,,,,178795,ул Державина,0.1735,1.22,0.0549,-1.0
L37,дублёр Ипподромской,no_match,,,,,,,,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,0.8,0.0,1.0,-1.0
L40,улица Кропоткина,matched_direct,direct,178800,ул Кропоткина,1.1594,9.06,1.0,1.0,2000.0,3600.0,2,40.0,178800,ул Кропоткина,1.1594,9.06,1.0,1.0
L43,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.2213,2.87,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.2213,2.87,1.0,1.0
L44,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.2272,2.28,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.2272,2.28,1.0,1.0
L45,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.2164,3.36,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.2164,3.36,1.0,1.0
L47,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.055,19.5,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.055,19.5,1.0,1.0
